Competition,date,time,Venue,HomeTeam,Home Score,Away Score,Away team,Ref
U16 Football League Div.1,22 Feb,14:30,Malahide Castle,St Sylvesters A,"
										2-9
									","
										4-7
									",Lucan Sarsfields A,Chris McGinn Clontarf
U16 Football League Div.1,22 Feb,14:00,Collinstown,Na Fianna A,"
										1-9
									","
										2-3
									",Clontarf A,Tom Tansey  St Brendans
U16 Football League Div.1,15 Feb,15:00,Malahide Castle,St Sylvesters A,"
										
									","
										
									",Ballinteer St Johns,
U16 Football League Div.1,15 Feb,15:00,Silver Park,Kilmacud Crokes A,"
										
									","
										
									",Na Fianna A,
U16 Football League Div.1,15 Feb,15:00,St Annes 23,Clontarf A,"
										
									","
										
									",St Patricks D,
U16 Football League Div.1,15 Feb,15:00,Ballycullen,Ballyboden St Endas A,"
										
									","
										
									",Naomh Barrog A,
U16 Football League Div.1,15 Feb,15:00,12th Lock,Lucan Sarsfields A,"
										
									","
										
									",St Judes A,
U16 Football League Div.1,08 Feb,15:00,St Annes 12,Naomh Barrog A,"
										2-9
									","
										1-5
									",Clontarf A,George Williams -Trinity Gaels
U16 Football League Div.1,08 Feb,15:00,Ballamastone-Donabate,St Patricks D,"
										0-5
									","
										3-17
									",Kilmacud Crokes A,Derek Doran  St Colmcilles
U16 Football League Div.1,08 Feb,15:00,Collinstown,Na Fianna A,"
										0-3
									","
										2-16
									",Lucan Sarsfields A,Sean Dunican - Nh. OP/ER
U16 Football League Div.1,08 Feb,15:00,Tymon Park,St Judes A,"
										3-9
									","
										1-5
									",St Sylvesters A,Philip Carr-Round Towers C
U16 Football League Div.2,23 Jun,19:30,PNU,St Vincents A,"
										
									","
										
									",St Peters,TBC
U16 Football League Div.2,23 Jun,19:30,Balheary,Fingallians A,"
										
									","
										
									",Thomas Davis A,TBC
U16 Football League Div.2,23 Jun,19:30,Porterstown,Castleknock,"
										
									","
										
									",Thomas Ashe,TBC
U16 Football League Div.2,23 Jun,19:30,Dolphin Park,Templeogue Synge Street A,"
										
									","
										
									",St Maurs,TBC
U16 Football League Div.2,23 Jun,19:30,Ellenfield Park,Whitehall Colmcille,"
										
									","
										
									",Ballymun Kickhams,TBC
U16 Football League Div.2,28 May,19:30,Ellenfield Park,Whitehall Colmcille,"
										
									","
										
									",St Peters,TBC
U16 Football League Div.2,28 May,19:30,Pairc Ciceam,Ballymun Kickhams,"
										
									","
										
									",Templeogue Synge Street A,TBC
U16 Football League Div.2,28 May,19:30,Rush,St Maurs,"
										
									","
										
									",Castleknock,TBC
U16 Football League Div.2,28 May,19:30,Ridgewood Park,Thomas Ashe,"
										
									","
										
									",Fingallians A,TBC
U16 Football League Div.2,28 May,19:30,Kiltipper Rd,Thomas Davis A,"
										
									","
										
									",St Vincents A,TBC
U16 Football League Div.2,28 Apr,19:00,Ballybougal,St Peters,"
										
									","
										
									",Thomas Davis A,TBC
U16 Football League Div.2,28 Apr,19:00,PNU,St Vincents A,"
										
									","
										
									",Thomas Ashe,TBC
U16 Football League Div.2,28 Apr,19:00,Balheary,Fingallians A,"
										
									","
										
									",St Maurs,TBC
U16 Football League Div.2,28 Apr,19:00,Porterstown,Castleknock,"
										
									","
										
									",Ballymun Kickhams,TBC
U16 Football League Div.2,28 Apr,19:00,Dolphin Park,Templeogue Synge Street A,"
										
									","
										
									",Whitehall Colmcille,TBC
U16 Football League Div.2,04 Apr,15:30,Dolphin Park,Templeogue Synge Street A,"
										
									","
										
									",St Peters,TBC
U16 Football League Div.2,04 Apr,15:30,Ridgewood Park,Thomas Ashe,"
										
									","
										
									",Thomas Davis A,TBC
U16 Football League Div.2,04 Apr,15:30,Ellenfield Park,Whitehall Colmcille,"
										
									","
										
									",Castleknock,TBC
U16 Football League Div.2,04 Apr,15:30,Pairc Ciceam,Ballymun Kickhams,"
										
									","
										
									",Fingallians A,TBC
U16 Football League Div.2,04 Apr,15:30,Rush,St Maurs,"
										
									","
										
									",St Vincents A,TBC
U16 Football League Div.2,21 Mar,15:00,Ballybougal,St Peters,"
										
									","
										
									",Thomas Ashe,TBC
U16 Football League Div.2,21 Mar,15:00,Kiltipper Rd,Thomas Davis A,"
										
									","
										
									",St Maurs,TBC
U16 Football League Div.2,21 Mar,15:00,PNU,St Vincents A,"
										
									","
										
									",Ballymun Kickhams,TBC
U16 Football League Div.2,21 Mar,15:00,Balheary,Fingallians A,"
										
									","
										
									",Whitehall Colmcille,TBC
U16 Football League Div.2,21 Mar,15:00,Porterstown,Castleknock,"
										
									","
										
									",Templeogue Synge Street A,TBC
U16 Football League Div.2,07 Mar,15:15,Pairc Ciceam,Ballymun Kickhams,"
										
									","
										
									",Thomas Davis A,Derek Doran  St Colmcilles
U16 Football League Div.2,07 Mar,15:00,Porterstown,Castleknock,"
										5-13
									","
										0-8
									",St Peters,Mark Hanley - Lucan Sarsfields
U16 Football League Div.2,07 Mar,15:00,Rush,St Maurs,"
										6-2
									","
										1-6
									",Thomas Ashe,Robert Fennelly  Trinity Gaels
U16 Football League Div.2,07 Mar,15:00,Dolphin Park,Templeogue Synge Street A,"
										2-10
									","
										2-10
									",Fingallians A,Bobby Moran  St Judes
U16 Football League Div.2,07 Mar,15:00,Ellenfield Park,Whitehall Colmcille,"
										0-7
									","
										1-10
									",St Vincents A,Danny Harrington St Sylvesters
U16 Football League Div.2,22 Feb,14:30,Ballybougal,St Peters,"
										1-4
									","
										0-5
									",St Maurs,Robert Fennelly  Trinity Gaels
U16 Football League Div.2,22 Feb,14:30,Ridgewood Park,Thomas Ashe,"
										0-0
									","
										0-0
									",Ballymun Kickhams,Rory Hanley St Brigids
U16 Football League Div.2,22 Feb,14:30,Kiltipper Rd,Thomas Davis A,"
										5-6
									","
										0-8
									",Whitehall Colmcille,Seamus Farrelly  Ballinteer St. John
U16 Football League Div.2,22 Feb,14:30,PNU,St Vincents A,"
										
									","
										
									",Templeogue Synge Street A,George Williams -Trinity Gaels
U16 Football League Div.2,22 Feb,14:00,Balheary,Fingallians A,"
										4-10
									","
										4-4
									",Castleknock,Luke Lacey Na Fianna
U16 Football League Div.2,15 Feb,15:00,Balheary,Fingallians A,"
										
									","
										
									",St Peters,
U16 Football League Div.2,15 Feb,15:00,Dolphin Park,Templeogue Synge Street A,"
										
									","
										
									",Thomas Davis A,
U16 Football League Div.2,15 Feb,15:00,Ellenfield Park,Whitehall Colmcille,"
										
									","
										
									",Thomas Ashe,
U16 Football League Div.2,15 Feb,15:00,Pairc Ciceam,Ballymun Kickhams,"
										
									","
										
									",St Maurs,
U16 Football League Div.2,15 Feb,15:00,Porterstown,Castleknock,"
										
									","
										
									",St Vincents A,
U16 Football League Div.2,08 Feb,15:00,Ballybougal,St Peters,"
										2-9
									","
										0-4
									",Ballymun Kickhams,Ian Howley-O Dwyers
U16 Football League Div.2,08 Feb,15:00,Rush,St Maurs,"
										4-7
									","
										3-5
									",Whitehall Colmcille,Finbar Gaffney Na Fianna
U16 Football League Div.2,08 Feb,15:00,Ridgewood Park,Thomas Ashe,"
										8-10
									","
										4-3
									",Templeogue Synge Street A,Kevin Roche Whitehall Colmcille
U16 Football League Div.2,08 Feb,15:00,Kiltipper Rd,Thomas Davis A,"
										2-10
									","
										1-7
									",Castleknock,Seamus Farrelly  Ballinteer St. John
U16 Football League Div.2,08 Feb,15:00,PNU,St Vincents A,"
										1-6
									","
										1-8
									",Fingallians A,Damien Burnett  Craobh Chiarain
U16 Football League Div.3,23 Jun,19:30,Bremore Park,O Dwyers A,"
										
									","
										
									",Skerries Harps,TBC
U16 Football League Div.3,23 Jun,19:30,St Annes 10,Raheny,"
										
									","
										
									",Erins Isle,TBC
U16 Football League Div.3,23 Jun,19:30,Martin Savage Park,St Oliver Plunkett ER,"
										
									","
										
									",Naomh Mearnog,TBC
U16 Football League Div.3,23 Jun,19:30,Shanganagh Park,Cuala A,"
										
									","
										
									",Parnells,TBC
U16 Football League Div.3,23 Jun,19:30,Westmanstown Sports Centre,St Catherines,"
										
									","
										
									",Good Counsel Liffey Gaels,TBC
U16 Football League Div.3,28 May,19:30,Westmanstown Sports Centre,St Catherines,"
										
									","
										
									",Skerries Harps,TBC
U16 Football League Div.3,28 May,19:30,Galtymore Rd,Good Counsel Liffey Gaels,"
										
									","
										
									",Cuala A,TBC
U16 Football League Div.3,28 May,19:30,Chanel,Parnells,"
										
									","
										
									",St Oliver Plunkett ER,TBC
U16 Football League Div.3,28 May,19:30,Pairc Mearnog,Naomh Mearnog,"
										
									","
										
									",Raheny,TBC
U16 Football League Div.3,28 May,19:30,Finglas,Erins Isle,"
										
									","
										
									",O Dwyers A,TBC
U16 Football League Div.3,28 Apr,19:00,Townparks,Skerries Harps,"
										
									","
										
									",Erins Isle,TBC
U16 Football League Div.3,28 Apr,19:00,Bremore Park,O Dwyers A,"
										
									","
										
									",Naomh Mearnog,TBC
U16 Football League Div.3,28 Apr,19:00,St Annes 10,Raheny,"
										
									","
										
									",Parnells,TBC
U16 Football League Div.3,28 Apr,19:00,Martin Savage Park,St Oliver Plunkett ER,"
										
									","
										
									",Good Counsel Liffey Gaels,TBC
U16 Football League Div.3,28 Apr,19:00,Shanganagh Park,Cuala A,"
										
									","
										
									",St Catherines,TBC
U16 Football League Div.3,04 Apr,15:30,Shanganagh Park,Cuala A,"
										
									","
										
									",Skerries Harps,TBC
U16 Football League Div.3,04 Apr,15:30,Pairc Mearnog,Naomh Mearnog,"
										
									","
										
									",Erins Isle,TBC
U16 Football League Div.3,04 Apr,15:30,Westmanstown Sports Centre,St Catherines,"
										
									","
										
									",St Oliver Plunkett ER,TBC
U16 Football League Div.3,04 Apr,15:30,Galtymore Rd,Good Counsel Liffey Gaels,"
										
									","
										
									",Raheny,TBC
U16 Football League Div.3,04 Apr,15:30,Chanel,Parnells,"
										
									","
										
									",O Dwyers A,TBC
U16 Football League Div.3,21 Mar,15:00,Townparks,Skerries Harps,"
										
									","
										
									",Naomh Mearnog,TBC
U16 Football League Div.3,21 Mar,15:00,Finglas,Erins Isle,"
										
									","
										
									",Parnells,TBC
U16 Football League Div.3,21 Mar,15:00,Bremore Park,O Dwyers A,"
										
									","
										
									",Good Counsel Liffey Gaels,TBC
U16 Football League Div.3,21 Mar,15:00,St Annes 10,Raheny,"
										
									","
										
									",St Catherines,TBC
U16 Football League Div.3,21 Mar,15:00,Martin Savage Park,St Oliver Plunkett ER,"
										
									","
										
									",Cuala A,TBC
U16 Football League Div.3,07 Mar,15:00,Martin Savage Park,St Oliver Plunkett ER,"
										4-15
									","
										1-2
									",Skerries Harps,Ciarán Reilly  Na Fianna
U16 Football League Div.3,07 Mar,15:00,Galtymore Rd,Good Counsel Liffey Gaels,"
										2-4
									","
										4-5
									",Erins Isle,John Rutherford  Ballyboden St Enda
U16 Football League Div.3,07 Mar,15:00,Chanel,Parnells,"
										1-14
									","
										1-6
									",Naomh Mearnog,David Cullen Fingallians
U16 Football League Div.3,07 Mar,15:00,Shanganagh Park,Cuala A,"
										2-10
									","
										4-8
									",Raheny,Shane McDonnell - Stars of Erin
U16 Football League Div.3,07 Mar,15:00,Westmanstown Sports Centre,St Catherines,"
										1-16
									","
										0-10
									",O Dwyers A,Sean Dunican - Nh. OP/ER
U16 Football League Div.3,22 Feb,14:30,Townparks,Skerries Harps,"
										2-11
									","
										0-5
									",Parnells,Ian Howley-O Dwyers
U16 Football League Div.3,22 Feb,14:30,Finglas,Erins Isle,"
										
									","
										
									",St Catherines,Laurence Kelly-Naomh Fionnbarra
U16 Football League Div.3,22 Feb,14:30,Bremore Park,O Dwyers A,"
										
									","
										
									",Cuala A,Robert Carthy St Maurs
U16 Football League Div.3,22 Feb,14:30,St Annes 10,Raheny,"
										
									","
										
									",St Oliver Plunkett ER,Tim McCarthy Snr St Vincents
U16 Football League Div.3,22 Feb,14:00,Pairc Mearnog,Naomh Mearnog,"
										4-19
									","
										4-4
									",Good Counsel Liffey Gaels,Ian Kavanagh  Raheny
U16 Football League Div.3,15 Feb,15:00,St Annes 10,Raheny,"
										
									","
										
									",Skerries Harps,
U16 Football League Div.3,15 Feb,15:00,Shanganagh Park,Cuala A,"
										
									","
										
									",Erins Isle,
U16 Football League Div.3,15 Feb,15:00,Westmanstown Sports Centre,St Catherines,"
										
									","
										
									",Naomh Mearnog,
U16 Football League Div.3,15 Feb,15:00,Galtymore Rd,Good Counsel Liffey Gaels,"
										
									","
										
									",Parnells,
U16 Football League Div.3,15 Feb,15:00,Martin Savage Park,St Oliver Plunkett ER,"
										
									","
										
									",O Dwyers A,
U16 Football League Div.3,08 Feb,15:00,Townparks,Skerries Harps,"
										1-6
									","
										4-14
									",Good Counsel Liffey Gaels,Joe Dromgoole Fingallians
U16 Football League Div.3,08 Feb,15:00,Chanel,Parnells,"
										4-3
									","
										3-10
									",St Catherines,John Higgins Na Fianna
U16 Football League Div.3,08 Feb,15:00,Pairc Mearnog,Naomh Mearnog,"
										3-3
									","
										3-6
									",Cuala A,Sean McCarthy-St Vincents
U16 Football League Div.3,08 Feb,15:00,Finglas,Erins Isle,"
										8-14
									","
										0-7
									",St Oliver Plunkett ER,Laurence Kelly-Naomh Fionnbarra
U16 Football League Div.3,08 Feb,15:00,Bremore Park,O Dwyers A,"
										1-8
									","
										3-6
									",Raheny,David Cullen Fingallians
U16 Football League Div.4,23 Jun,19:30,Silver Park,Kilmacud Crokes B,"
										
									","
										
									",Round Towers C A,TBC
U16 Football League Div.4,23 Jun,19:30,Russell Park,St Brigids,"
										
									","
										
									",Fingal Ravens,TBC
U16 Football League Div.4,23 Jun,19:30,Saggart,St Marys S,"
										
									","
										
									",Craobh Chiarain,TBC
U16 Football League Div.4,23 Jun,19:30,Pc Ui Bhriain,Naomh Olaf A,"
										
									","
										
									",St Annes,TBC
U16 Football League Div.4,23 Jun,19:30,Pairc Ui Tuaithail Blunden Drive,O Tooles,"
										
									","
										
									",Ballyfermot De La Salle,TBC
U16 Football League Div.4,28 May,19:30,Pairc Ui Tuaithail Blunden Drive,O Tooles,"
										
									","
										
									",Round Towers C A,TBC
U16 Football League Div.4,28 May,19:30,The Gaels Gurteen Road,Ballyfermot De La Salle,"
										
									","
										
									",Naomh Olaf A,TBC
U16 Football League Div.4,28 May,19:30,Bohernabreena,St Annes,"
										
									","
										
									",St Marys S,TBC
